date,site_name,mean_do_mg_l,mean_salinity_ppt,mean_temp_c
2021-08-13,phelps_bridge,6.59,2.9,20.7
2021-08-13,venoco_bridge,0,0,26.85
2021-08-20,east_channel,0,0,25
2021-08-20,phelps_bridge,5.02,2.9,20.95
2021-08-20,venoco_bridge,0,0,26.75
2021-08-27,east_channel,0,0,33.8
2021-08-27,phelps_bridge,8.42,2.9,22
2021-08-27,venoco_bridge,0,0,29.8
2021-09-03,east_channel,0,0,34.8
2021-09-03,phelps_bridge,6.23,3.2,22.2
2021-09-03,venoco_bridge,0,0,29.05
2021-09-10,east_channel,0,0,32.3
2021-09-10,phelps_bridge,0.73,1.7,23.3
2021-09-10,venoco_bridge,0,0,31.900000000000002
2021-09-17,phelps_bridge,7.8,1.9,18.7
2021-09-17,venoco_bridge,0,0,30.15
2021-09-24,east_channel,0,0,20.9
2021-09-24,phelps_bridge,5.04,2.2,17.7
2021-09-24,venoco_bridge,0,0,29
2021-10-01,east_channel,0,0,31.3
2021-10-01,phelps_bridge,8.05,2.2,17.9
2021-10-01,venoco_bridge,0,0,26.15
2021-10-15,east_channel,0,0,28.5
2021-10-15,phelps_bridge,6.99,1.5,15.7
2021-10-15,venoco_bridge,0,0,25
2021-10-22,east_channel,0,0,29
2021-10-22,phelps_bridge,8.74,1.9,16.9
2021-10-22,venoco_bridge,0,0,23.9
2021-10-25,east_channel,7.944999999999999,0.30000000000000004,18.8
2021-10-25,phelps_bridge,6.93,0.5,17.45
2021-10-25,venoco_bridge,7.48,2,18.25
2021-11-05,east_channel,6.345,14.350000000000001,19.35
2021-11-05,phelps_bridge,7.39,1.8,16.4
2021-11-05,venoco_bridge,5.72,15.425,19.5
2021-11-12,east_channel,7.25,20.200000000000003,20.85
2021-11-12,phelps_bridge,12.44,1.9,17.9
2021-11-12,venoco_bridge,5.6225000000000005,24,20.049999999999997
2021-11-19,east_channel,6.345000000000001,21.65,16.35
2021-11-19,phelps_bridge,9.84,2,14.3
2021-11-19,venoco_bridge,5.5424999999999995,23.55,17.5
2021-11-24,east_channel,7.105,24.25,18.95
2021-11-24,phelps_bridge,14.88,2,14.7
